Year,Lake,Station,Species,Sample ID,PFBA (ug/kg),PFBA Qual,PFBS (ug/kg),PFBS Qual,PFDA (ug/kg),PFDA Qual,PFDA_b1 (ug/kg),PFDA_b1 Qual,PFDS (ug/kg),PFDS Qual,PFDS_b1 (ug/kg),PFDS_b1 Qual,PFDS_b2 (ug/kg),PFDS_b2 Qual,PFDS_b3 (ug/kg),PFDS_b3 Qual,PFDoA (ug/kg),PFDoA Qual,PFDoA_b1 (ug/kg),PFDoA_b1 Qual,PFHpA (ug/kg),PFHpA Qual,PFHxA (ug/kg),PFHxA Qual,PFHxDA (ug/kg),PFHxDA Qual,PFHxS  (ug/kg),PFHxS Qual,PFHxS_b1  (ug/kg),PFHxS_b1 Qual,PFNA  (ug/kg),PFNA Qual,PFNA_b1  (ug/kg),PFNA_b1 Qual,PFOA  (ug/kg),PFOA Qual,PFOA_b1  (ug/kg),PFOA_b1 Qual,PFOS (ug/kg),PFOS Qual,PFOS_b1  (ug/kg),PFOS_b1 Qual,PFOS_b2  (ug/kg),PFOS_b2 Qual,PFOS_b3  (ug/kg),PFOS_b3 Qual,PFOS_b4  (ug/kg),PFOS_b4 Qual,PFOS_b5  (ug/kg),PFOS_b5 Qual,PFPeA  (ug/kg),PFPeA Qual,PFTeA  (ug/kg),PFTeA Qual,PFTrA  (ug/kg),PFTrA Qual,PFTrA_b1  (ug/kg),PFTrA_b1 Qual,PFUnA  (ug/kg),PFUnA Qual,PFUnA_b1  (ug/kg),PFUnA_b1 Qual,PFC_Tot  (ug/kg),PFC_Tot Qual,4:2FTS (ug/kg),4:2FTS Qual,6:2FTS (ug/kg),6:2FTS Qual,8:2FTS (ug/kg),8:2FTS Qual,NEtFOSAA (ug/kg),NEtFOSAA Qual,NMeFOSAA (ug/kg),NMeFOSAA Qual,3:3FTCA (ug/kg),3:3FTCA Qual,5:3FTCA (ug/kg),5:3FTCA Qual,7:3FTCA (ug/kg),7:3FTCA Qual,11Cl-PF3OUdS (ug/kg),11Cl-PF3OUdS Qual,ADONA (ug/kg),ADONA Qual,HFPO_DA (ug/kg),HFPO_DA Qual,NFDHA (ug/kg),NFDHA Qual,PF3ONS (ug/kg),PF3ONS Qual,PFDOS (ug/kg),PFDOS Qual,PFEESA (ug/kg),PFEESA Qual,PFHpS (ug/kg),PFHpS Qual,PFMBA (ug/kg),PFMBA Qual,PFMPA (ug/kg),PFMPA Qual,PFNS (ug/kg),PFNS Qual,PFOSA (ug/kg),PFOSA Qual,PFPeS (ug/kg),PFPeS Qual
2011,Erie,LE-Dunkirk,Lake Trout,20110424001,1.822666667,SBB-LAB,0.024,BDL-LAB,1.51192457,,,,0.042333333,BDL-LAB,,,,,,,0.342666667,BDL-LAB,,,0.015333333,BDL-LAB,0.074,BDL-LAB,,,0.194666667,SBB-LAB,,,0.629506378,,,,0,BDL-LAB,,,35.66666667,,,,,,,,,,,,0,BDL-LAB,0.783,BDL-LAB,0.450333333,BDL-LAB,,,1.112666667,BDL-LAB,,,42.66976428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424002,0.672333333,SBB-LAB,0.054,BDL-LAB,2.958710276,,,,0.093666667,BDL-LAB,,,,,,,0.916,BDL-LAB,,,0.043333333,BDL-LAB,0.219666667,BDL-LAB,,,0.205,BDL-LAB,,,1.134075621,,,,0.063666667,BDL-LAB,,,44.53862213,,,,,,,,,,,,0,BDL-LAB,0.936333333,BDL-LAB,0.552,BDL-LAB,,,2.109255393,,,,54.49666342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424003,1.131666667,SBB-LAB,0.018333333,BDL-LAB,3.775553534,,,,0.159333333,SBB-LAB,,,,,,,0.999666667,BDL-LAB,,,0.007333333,BDL-LAB,0.071,BDL-LAB,,,0.296026691,,,,1.3014862,,,,0.030666667,BDL-LAB,,,62.88140734,,,,,,,,,,,,0,BDL-LAB,0.798,BDL-LAB,0.297333333,BDL-LAB,,,2.495905369,,,,74.26371247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424004,1.570021545,,0.010666667,BDL-LAB,3.540166205,,,,0.198333333,SBB-LAB,,,,,,,1.102666667,BDL-LAB,,,0.034,BDL-LAB,0.046666667,BDL-LAB,,,0.23,SBB-LAB,,,1.388427208,,,,0.006333333,BDL-LAB,,,56.56448138,,,,,,,,,,,,0,BDL-LAB,0.170666667,BDL-LAB,0.399666667,BDL-LAB,,,3.004616805,,,,68.26671314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424005,0.903333333,SBB-LAB,0.052333333,BDL-LAB,3.607923497,,,,0.103666667,BDL-LAB,,,,,,,0.731,BDL-LAB,,,0,BDL-LAB,0.572,BDL-LAB,,,0.212666667,SBB-LAB,,,1.138661202,,,,0,BDL-LAB,,,50.98565574,,,,,,,,,,,,0,BDL-LAB,0.097,BDL-LAB,0.564,BDL-LAB,,,3.161543716,,,,62.12978415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424006,1.869910626,,0.010333333,BDL-LAB,4.623965574,,,,0.145333333,SBB-LAB,,,,,,,1.880666667,BDL-LAB,,,0.014666667,BDL-LAB,0.062333333,BDL-LAB,,,0.225333333,SBB-LAB,,,1.640847402,,,,0.015333333,BDL-LAB,,,84.1939755,,,,,,,,,,,,0,BDL-LAB,0.546,BDL-LAB,0.612666667,BDL-LAB,,,3.399536577,,,,99.24090235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424007,1.294117647,,0.015666667,BDL-LAB,2.776041667,,,,0.070666667,BDL-LAB,,,,,,,0.966666667,BDL-LAB,,,0.016666667,BDL-LAB,0.048666667,BDL-LAB,,,0.188333333,SBB-LAB,,,0.96875,,,,0.042,BDL-LAB,,,51.96354167,,,,,,,,,,,,0,BDL-LAB,0.646333333,BDL-LAB,0.413,BDL-LAB,,,2.206495098,,,,61.61694608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424008,0.643666667,BDL-LAB,0,BDL-LAB,2.336760925,,,,0.145333333,BDL-LAB,,,,,,,0.488333333,BDL-LAB,,,0.013,BDL-LAB,0.221666667,BDL-LAB,,,0.266666667,SBB-LAB,,,1.109397315,,,,0.041333333,BDL-LAB,,,52.58497572,,,,,,,,,,,,0,BDL-LAB,0.816,BDL-LAB,2.321333333,BDL-LAB,,,2.875333333,BDL-LAB,,,63.86380063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424009,0.818699187,,0,BDL-LAB,3.762804878,,,,0.284,SBB-LAB,,,,,,,1.825666667,BDL-LAB,,,0.036333333,BDL-LAB,0.099333333,BDL-LAB,,,0.241260163,,,,1.457113821,,,,0.039666667,BDL-LAB,,,76.32520325,,,,,,,,,,,,0,BDL-LAB,0.474333333,BDL-LAB,0.456666667,BDL-LAB,,,2.654878049,,,,88.47595935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Erie,LE-Dunkirk,Lake Trout,20110424010,1.076333333,SBB-LAB,0.023333333,BDL-LAB,3.703445991,,,,0.178,SBB-LAB,,,,,,,0.509,BDL-LAB,,,0.04,BDL-LAB,0.097333333,BDL-LAB,,,0.284666667,SBB-LAB,,,1.356196156,,,,0.044,BDL-LAB,,,79.09907223,,,,,,,,,,,,0,BDL-LAB,0.435,BDL-LAB,0.237666667,BDL-LAB,,,3.251491054,,,,90.33553877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
